ul_output,ur_output,ll_output,lr_output
436.11,-311.04,436.11,-311.04
430.68,-302.21,430.68,-302.21
425.18,-293.49,425.18,-293.49
419.59,-284.88,419.59,-284.88
413.91,-276.42,413.91,-276.42
408.12,-268.11,408.12,-268.11
402.21,-259.97,402.21,-259.97
396.15,-252.01,396.15,-252.01
389.96,-244.25,389.96,-244.25
383.6,-236.69,383.6,-236.69
377.08,-229.34,377.08,-229.34
370.38,-222.21,370.38,-222.21
363.51,-215.3,363.51,-215.3
356.44,-208.62,356.44,-208.62
349.19,-202.16,349.19,-202.16
341.75,-195.94,341.75,-195.94
334.11,-189.94,334.11,-189.94
326.27,-184.17,326.27,-184.17
318.24,-178.62,318.24,-178.62
310.01,-173.28,310.01,-173.28
301.6,-168.15,301.6,-168.15
292.99,-163.23,292.99,-163.23
284.21,-158.5,284.21,-158.5
275.25,-153.95,275.25,-153.95
266.12,-149.58,266.12,-149.58
256.84,-145.36,256.84,-145.36
247.41,-141.28,247.41,-141.28
237.84,-137.33,237.84,-137.33
228.15,-133.49,228.15,-133.49
218.35,-129.75,218.35,-129.75
208.47,-126.07,208.47,-126.07
198.51,-122.44,198.51,-122.44
188.5,-118.85,188.5,-118.85
178.45,-115.25,178.45,-115.25
168.39,-111.64,168.39,-111.64
158.35,-107.98,158.35,-107.98
148.35,-104.24,148.35,-104.24
138.41,-100.4,138.41,-100.4
128.57,-96.43,128.57,-96.43
118.85,-92.29,118.85,-92.29
109.3,-87.95,109.3,-87.95
99.93,-83.38,99.93,-83.38
90.8,-78.54,90.8,-78.54
81.93,-73.4,81.93,-73.4
73.36,-67.92,73.36,-67.92
65.15,-62.06,65.15,-62.06
57.32,-55.79,57.32,-55.79
49.92,-49.06,49.92,-49.06
43.01,-41.83,43.01,-41.83
36.62,-34.06,36.62,-34.06
30.81,-25.71,30.81,-25.71
25.63,-16.73,25.63,-16.73
21.12,-7.09,21.12,-7.09
17.35,3.26,17.35,3.26
14.36,14.36,14.36,14.36
12.21,26.26,12.21,26.26
10.97,39.0,10.97,39.0
2.27,37.38,2.27,37.38
3.47,38.57,3.47,38.57
4.71,39.79,4.71,39.79
5.98,41.04,5.98,41.04
7.28,42.33,7.28,42.33
8.62,43.65,8.62,43.65
10.0,45.01,10.0,45.01
10.7,45.7,10.7,45.7
633.97,-464.48,633.97,-464.48
635.1,-462.84,635.1,-462.84
636.26,-461.14,636.26,-461.14
637.44,-459.41,637.44,-459.41
638.65,-457.64,638.65,-457.64
639.89,-455.83,639.89,-455.83
641.16,-453.97,641.16,-453.97
641.8,-453.03,641.8,-453.03
641.8,-453.03,641.8,-453.03
627.9,-456.46,627.9,-456.46
614.74,-458.74,614.74,-458.74
602.29,-459.93,602.29,-459.93
590.5,-460.08,590.5,-460.08
579.34,-459.27,579.34,-459.27
568.78,-457.56,568.78,-457.56
558.77,-455.01,558.77,-455.01
549.29,-451.67,549.29,-451.67
540.29,-447.62,540.29,-447.62
531.74,-442.9,531.74,-442.9
523.61,-437.57,523.61,-437.57
515.87,-431.7,515.87,-431.7
508.47,-425.33,508.47,-425.33
501.39,-418.51,501.39,-418.51
494.6,-411.3,494.6,-411.3
488.06,-403.74,488.06,-403.74
481.75,-395.88,481.75,-395.88
475.64,-387.76,475.64,-387.76
469.7,-379.42,469.7,-379.42
463.9,-370.9,463.9,-370.9
458.22,-362.25,458.22,-362.25
452.63,-353.49,452.63,-353.49
447.11,-344.66,447.11,-344.66
441.63,-335.78,441.63,-335.78
436.17,-326.9,436.17,-326.9
430.72,-318.04,430.72,-318.04
425.25,-309.22,425.25,-309.22
419.74,-300.46,419.74,-300.46
414.18,-291.79,414.18,-291.79
408.55,-283.23,408.55,-283.23
402.83,-274.8,402.83,-274.8
397.01,-266.51,397.01,-266.51
391.07,-258.37,391.07,-258.37
385.01,-250.41,385.01,-250.41
378.81,-242.63,378.81,-242.63
372.46,-235.04,372.46,-235.04
365.95,-227.65,365.95,-227.65
359.28,-220.46,359.28,-220.46
352.43,-213.49,352.43,-213.49
345.41,-206.74,345.41,-206.74
338.21,-200.2,338.21,-200.2
330.82,-193.89,330.82,-193.89
323.24,-187.79,323.24,-187.79
315.47,-181.91,315.47,-181.91
307.51,-176.24,307.51,-176.24
299.37,-170.78,299.37,-170.78
291.04,-165.52,291.04,-165.52
282.53,-160.46,282.53,-160.46
273.84,-155.59,273.84,-155.59
264.98,-150.89,264.98,-150.89
255.96,-146.36,255.96,-146.36
246.79,-141.99,246.79,-141.99
237.48,-137.75,237.48,-137.75
228.03,-133.63,228.03,-133.63
218.46,-129.62,218.46,-129.62
208.8,-125.7,208.8,-125.7
199.04,-121.85,199.04,-121.85
189.21,-118.05,189.21,-118.05
179.33,-114.27,179.33,-114.27
169.43,-110.5,169.43,-110.5
159.51,-106.71,159.51,-106.71
149.6,-102.87,149.6,-102.87
139.74,-98.96,139.74,-98.96
129.94,-94.94,129.94,-94.94
120.24,-90.79,120.24,-90.79
110.66,-86.48,110.66,-86.48
101.25,-81.98,101.25,-81.98
92.02,-77.25,92.02,-77.25
83.02,-72.25,83.02,-72.25
74.28,-66.96,74.28,-66.96
65.84,-61.34,65.84,-61.34
57.75,-55.34,57.75,-55.34
50.04,-48.94,50.04,-48.94
42.76,-42.09,42.76,-42.09
35.95,-34.75,35.95,-34.75
29.66,-26.88,29.66,-26.88
23.95,-18.44,23.95,-18.44
18.85,-9.38,18.85,-9.38
14.43,0.32,14.43,0.32
10.72,10.72,10.72,10.72
7.8,21.87,7.8,21.87
5.7,33.79,5.7,33.79
4.5,46.54,4.5,46.54
4.23,60.16,4.23,60.16
-5.2,64.77,-5.2,64.77
-3.73,66.21,-3.73,66.21
-2.23,67.67,-2.23,67.67
-0.69,69.18,-0.69,69.18
0.88,70.71,0.88,70.71
2.49,72.28,2.49,72.28
4.13,73.88,4.13,73.88
4.97,74.7,4.97,74.7
643.11,-451.12,643.11,-451.12
644.45,-449.16,644.45,-449.16
645.82,-447.17,645.82,-447.17
647.22,-445.13,647.22,-445.13
648.64,-443.06,648.64,-443.06
650.09,-440.94,650.09,-440.94
651.57,-438.78,651.57,-438.78
652.32,-437.69,652.32,-437.69
652.32,-437.69,652.32,-437.69
636.96,-443.28,636.96,-443.28
622.46,-447.55,622.46,-447.55
608.77,-450.54,608.77,-450.54
595.86,-452.35,595.86,-452.35
583.69,-453.03,583.69,-453.03
572.2,-452.66,572.2,-452.66
561.37,-451.3,561.37,-451.3
551.15,-449.02,551.15,-449.02
541.5,-445.9,541.5,-445.9
532.39,-441.99,532.39,-441.99
523.76,-437.37,523.76,-437.37
515.59,-432.09,515.59,-432.09
507.83,-426.22,507.83,-426.22
500.45,-419.82,500.45,-419.82
493.41,-412.93,493.41,-412.93
486.68,-405.63,486.68,-405.63
480.22,-397.96,480.22,-397.96
474.01,-389.97,474.01,-389.97
468.0,-381.71,468.0,-381.71
462.17,-373.22,462.17,-373.22
456.49,-364.56,456.49,-364.56
450.92,-355.75,450.92,-355.75
445.45,-346.85,445.45,-346.85
440.04,-337.88,440.04,-337.88
434.66,-328.87,434.66,-328.87
429.31,-319.87,429.31,-319.87
423.95,-310.9,423.95,-310.9
418.55,-301.99,418.55,-301.99
413.11,-293.16,413.11,-293.16
407.6,-284.44,407.6,-284.44
402.0,-275.85,402.0,-275.85
396.3,-267.4,396.3,-267.4
390.48,-259.12,390.48,-259.12
384.52,-251.02,384.52,-251.02
378.42,-243.11,378.42,-243.11
372.16,-235.4,372.16,-235.4
365.74,-227.91,365.74,-227.91
359.13,-220.64,359.13,-220.64
352.35,-213.6,352.35,-213.6
345.37,-206.79,345.37,-206.79
338.19,-200.22,338.19,-200.22
330.81,-193.89,330.81,-193.89
323.23,-187.79,323.23,-187.79
315.45,-181.93,315.45,-181.93
307.46,-176.29,307.46,-176.29
299.28,-170.89,299.28,-170.89
290.89,-165.7,290.89,-165.7
282.31,-160.72,282.31,-160.72
273.54,-155.94,273.54,-155.94
264.58,-151.35,264.58,-151.35
255.46,-146.94,255.46,-146.94
246.17,-142.69,246.17,-142.69
236.74,-138.59,236.74,-138.59
227.16,-134.61,227.16,-134.61
217.47,-130.75,217.47,-130.75
207.67,-126.97,207.67,-126.97
197.79,-123.25,197.79,-123.25
187.84,-119.58,187.84,-119.58
177.84,-115.93,177.84,-115.93
167.83,-112.27,167.83,-112.27
157.82,-108.57,157.82,-108.57
147.84,-104.8,147.84,-104.8
137.92,-100.93,137.92,-100.93
128.1,-96.94,128.1,-96.94
118.4,-92.77,118.4,-92.77
108.86,-88.41,108.86,-88.41
99.52,-83.81,99.52,-83.81
90.42,-78.94,90.42,-78.94
81.6,-73.75,81.6,-73.75
73.09,-68.21,73.09,-68.21
64.95,-62.27,64.95,-62.27
57.22,-55.89,57.22,-55.89
49.95,-49.03,49.95,-49.03
43.19,-41.64,43.19,-41.64
37.0,-33.67,37.0,-33.67
31.42,-25.09,31.42,-25.09
26.51,-15.84,26.51,-15.84
22.33,-5.87,22.33,-5.87
18.94,4.85,18.94,4.85
16.39,16.39,16.39,16.39
14.75,28.78,14.75,28.78
14.08,42.09,14.08,42.09
14.44,56.34,14.44,56.34
